"id","name"
1,Aamir Khan
2,Aaron Eckhart
3,Abbas-Ali Roomandi
4,Abbey Lee
5,Abbie Cornish
6,Abdel Ahmed Ghili
7,Abdo Abdo
8,Abe Simon
9,Abe Vigoda
10,Abhirami
11,Abhishek Anand
12,Abhishek Shukla
13,Absa Diatou Toure
14,Adam Baldwin
15,Adam Elliot
16,Adam Goldberg
17,Adam Hugill
18,Adam Williams
19,Ade
20,Aditya Kumar
21,Adolf Hitler
22,Adolphe Menjou
23,Adriana Barraza
24,Adrien Brody
25,Adrienne Corri
26,Adèle Haenel
27,Agnes Moorehead
28,Agnese Nano
29,Ahmad Massad
30,Ahney Her
31,Aidan Gillen
32,Ajay Devgn
33,Ajnur Redzepi
34,Akemi Yamaguchi
35,Akihiro Miwa
36,Akiji Kobayashi
37,Akio Ôtsuka
38,Akira Ishida
39,Akira Ishihama
40,Akira Terao
41,Al Coronel
42,Al Ernest Garcia
43,Al Israel
44,Al Lettieri
45,Al Matthews
46,Al Pacino
47,Al Silvani
48,Alaa Chouchnieh
49,Alain Bouvette
50,Alan Baxter
51,Alan Ford
52,Alan Gifford
53,Alan Hale
54,Alan Howard
55,Alan King
56,Alan Rickman
57,Alan Tall
58,Alanna Ubach
59,Alba Gaïa Bellugi
60,Albert Brooks
61,Albert Delpy
62,Albert Hall
63,Albert Rémy
64,Aldo Giuffrè
65,Aldo Sambrell
66,Alec Baldwin
67,Alec Guinness
68,Alejandro Abelenda
69,Alejandro Barrios
70,Aleko Begalishvili
71,Aleksandr Berda
72,Aleksandr Kaydanovskiy
73,Aleksey Kravchenko
74,Alex Fernandez
75,Alex Hyde-White
76,Alex McCrindle
77,Alex Sol
78,Alexander Godunov
79,Alexander Gould
80,Alexandra Maria Lara
81,Alexandra Rapaport
82,Alexandre Mihalesco
83,Alexandre Rodrigues
84,Alexei Sayle
85,Alfonso Arau
86,Alfonso Bedoya
87,Alfred Abel
88,Alfred Molina
89,Ali Astin
90,Ali-Asghar Shahbazi
91,Alice Braga
92,Alice Garan
93,Alice Ghostley
94,Alice Patten
95,Alicia Rhett
96,Alida Valli
97,Alisa Freyndlikh
98,Alison Crosbie
99,Alison Doody
100,Alison Folland
101,Alistair Browning
102,Alistair Petrie
103,Allelon Ruggiero
104,Allison Janney
105,Alon Aboutboul
106,Alonzo Brown
107,Amala Paul
108,Amanda Brugel
109,Amanda Plummer
110,Amanda Warren
111,Amanda Winn Lee
112,Amardeep Jha
113,America Ferrera
114,Amerigo Fontani
115,Amir Ali Said
116,Amir Farrokh Hashemian
117,Amitabh Bachchan
118,Amy Adams
119,Amy Brenneman
120,Amy Poehler
121,Amy Wright
122,Ana Ofelia Murguía
123,Ana Reeder
124,Anatoliy Obukhov
125,Anatoliy Solonitsyn
126,Anders Ek
127,Andrea Eckert
128,Andreas Wisniewski
129,Andrew Borba
130,Andrew Garfield
131,Andrew Kevin Walker
132,Andrew Scott
133,Andrew Stanton
134,Andrew Weir
135,Andrzej Seweryn
136,André Berley
137,André Hennicke
138,André Morell
139,Andy Apollo
140,Andy Beckwith
141,Andy Serkis
142,Angel Schmiedt
143,Angela Bassett
144,Angelica Page
145,Angelo Novi
146,Angus Lennie
147,Angus Sampson
148,Anil Dhawan
149,Anil Nagarkar
150,Anmol Charan
151,Ann Gillis
152,Ann Rutherford
153,Ann Sears
154,Anna Q. Nilsson
155,Anna Thomson
156,Anne Bancroft
157,Anne Baxter
158,Anne Hathaway
159,Anne Jackson
160,Anne Le Ny
161,Anne Louise Hassing
162,Annette Bening
163,Annie Potts
164,Annika Wedderkopp
165,Ansiba
166,Anthony Allgood
