"id","title","release_year","rating","director","runtime"
1,The Shawshank Redemption,1994,9.3,Frank Darabont,142
2,The Godfather,1972,9.2,Francis Ford Coppola,175
3,The Godfather: Part II,1974,9.0,Francis Ford Coppola,202
4,The Dark Knight,2008,9.0,Christopher Nolan,152
5,"12 Angry Men",1957,9.0,Sidney Lumet,96
6,Schindler's List,1993,8.9,Steven Spielberg,195
7,The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,201
8,Pulp Fiction,1994,8.9,Quentin Tarantino,154
9,"The Good, the Bad and the Ugly",1966,8.8,Sergio Leone,178
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,178
11,Fight Club,1999,8.8,David Fincher,139
12,Forrest Gump,1994,8.8,Robert Zemeckis,142
13,Inception,2010,8.8,Christopher Nolan,148
14,The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,179
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,124
16,The Matrix,1999,8.7,Lana Wachowski,136
17,Goodfellas,1990,8.7,Martin Scorsese,146
18,One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,133
19,Seven Samurai,1954,8.6,Akira Kurosawa,207
20,Se7en,1995,8.6,David Fincher,127
21,Life Is Beautiful,1997,8.6,Roberto Benigni,116
22,City of God,2002,8.6,Fernando Meirelles,130
23,The Silence of the Lambs,1991,8.6,Jonathan Demme,118
24,It's a Wonderful Life,1946,8.6,Frank Capra,130
25,Star Wars: Episode IV - A New Hope,1977,8.6,George Lucas,121
26,Saving Private Ryan,1998,8.6,Steven Spielberg,169
27,The Green Mile,1999,8.6,Frank Darabont,189
28,Spirited Away,2001,8.6,Hayao Miyazaki,125
29,Interstellar,2014,8.6,Christopher Nolan,169
30,Parasite,2019,8.6,Bong Joon Ho,132
31,Léon: The Professional,1994,8.5,Luc Besson,110
32,Hara-Kiri,1962,8.6,Masaki Kobayashi,133
33,The Usual Suspects,1995,8.5,Bryan Singer,106
34,The Lion King,1994,8.5,Roger Allers,88
35,The Pianist,2002,8.5,Roman Polanski,150
36,Terminator 2: Judgment Day,1991,8.5,James Cameron,137
37,Back to the Future,1985,8.5,Robert Zemeckis,116
38,American History X,1998,8.5,Tony Kaye,119
39,Modern Times,1936,8.5,Charles Chaplin,87
40,Gladiator,2000,8.5,Ridley Scott,155
41,Psycho,1960,8.5,Alfred Hitchcock,109
42,The Departed,2006,8.5,Martin Scorsese,151
43,City Lights,1931,8.5,Charles Chaplin,87
44,The Intouchables,2011,8.5,Olivier Nakache,112
45,Whiplash,2014,8.5,Damien Chazelle,106
46,Grave of the Fireflies,1988,8.5,Isao Takahata,89
47,The Prestige,2006,8.5,Christopher Nolan,130
48,Once Upon a Time in the West,1968,8.5,Sergio Leone,165
49,Casablanca,1942,8.5,Michael Curtiz,102
50,Cinema Paradiso,1988,8.5,Giuseppe Tornatore,155
51,Rear Window,1954,8.4,Alfred Hitchcock,112
52,Alien,1979,8.4,Ridley Scott,117
53,Apocalypse Now,1979,8.4,Francis Ford Coppola,147
54,Memento,2000,8.4,Christopher Nolan,113
55,The Great Dictator,1940,8.4,Charles Chaplin,125
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,Steven Spielberg,115
57,Django Unchained,2012,8.4,Quentin Tarantino,165
58,The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,137
59,Hamilton,2020,8.5,Thomas Kail,160
60,Paths of Glory,1957,8.4,Stanley Kubrick,88
61,WALL·E,2008,8.4,Andrew Stanton,98
62,Joker,2019,8.4,Todd Phillips,122
63,The Shining,1980,8.4,Stanley Kubrick,146
64,Avengers: Infinity War,2018,8.4,Anthony Russo,149
65,Sunset Blvd.,1950,8.4,Billy Wilder,110
66,Witness for the Prosecution,1957,8.4,Billy Wilder,116
67,Oldboy,2003,8.4,Chan-wook Park,120
68,Spider-Man: Into the Spider-Verse,2018,8.4,Bob Persichetti,117
69,Princess Mononoke,1997,8.4,Hayao Miyazaki,134
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,95
71,The Dark Knight Rises,2012,8.4,Christopher Nolan,164
